SessionTime,Lap,LapDist,LapDistPct,Speed,Yaw,YawNorth,VelocityX,VelocityY,VelocityZ,YawRate,SteeringWheelAngle,LatAccel,IsOnTrack
973.233332824,1.000000000,4221.699707031,0.658252358,50.664352417,0.830154896,0.190313816,50.661327362,0.553462207,-0.381195933,-0.320886254,0.000000000,-12.825995445,1.000000000
973.249999491,1.000000000,4222.534179688,0.658382416,50.600139618,0.826446831,0.194021881,50.597148895,0.550263166,-0.368048608,-0.129549235,0.000000000,-10.182649612,1.000000000
973.266666157,1.000000000,4223.367675781,0.658512414,50.549457550,0.825470686,0.194998026,50.547279358,0.469521880,-0.310904384,-0.008744222,0.000000000,-6.786746502,1.000000000
973.283332824,1.000000000,4224.200195312,0.658642232,50.478527069,0.827307880,0.193160832,50.477993011,0.232124507,-0.226245105,0.050788749,-4.908902645,-20.671596527,1.000000000
973.299999491,1.000000000,4225.031250000,0.658771813,50.385383606,0.824998498,0.195470214,50.385383606,0.004942448,-0.125263780,-0.232895359,-9.424778938,-18.769792557,1.000000000
973.316666157,1.000000000,4225.860839844,0.658901155,50.298706055,0.819926858,0.200541854,50.298645020,-0.078542098,-0.141848713,-0.362053245,-9.424778938,-19.444356918,1.000000000
973.333332824,1.000000000,4226.688964844,0.659030259,50.213180542,0.813108742,0.207359970,50.213096619,-0.092005640,-0.265510619,-0.448235452,-9.424778938,-20.545637131,1.000000000
973.349999491,1.000000000,4227.515625000,0.659159184,50.130001068,0.805093527,0.215375185,50.129993439,-0.025912788,-0.392155379,-0.494849622,-9.424778938,-19.154623032,1.000000000
973.366666157,1.000000000,4228.341308594,0.659287870,50.045909882,0.796807289,0.223661423,50.045875549,0.059165932,-0.485217780,-0.479686111,-9.424778938,-19.159730911,1.000000000
973.383332824,1.000000000,4229.165039062,0.659416318,49.963840485,0.789255917,0.231212795,49.963703156,0.116543807,-0.497877121,-0.425534934,-9.424778938,-19.781974792,1.000000000
973.399999491,1.000000000,4229.987792969,0.659544647,49.878608704,0.782561600,0.237907112,49.878524780,0.092519484,-0.442766279,-0.385076314,-9.424778938,-22.778728485,1.000000000
973.416666157,1.000000000,4230.809570312,0.659672737,49.788272858,0.776161194,0.244307518,49.788272858,0.003832592,-0.352967769,-0.394380927,-9.424778938,-24.385627747,1.000000000
973.433332824,1.000000000,4231.629394531,0.659800589,49.692119598,0.769218504,0.251250207,49.692089081,-0.054627530,-0.266981989,-0.444088370,-9.424778938,-23.668992996,1.000000000
973.449999491,1.000000000,4232.447753906,0.659928203,49.592594147,0.761365533,0.259103179,49.592563629,-0.055190064,-0.221554011,-0.494356781,-9.424778938,-23.027414322,1.000000000
973.466666157,1.000000000,4233.264648438,0.660055578,49.495056152,0.752877891,0.267590821,49.495056152,-0.005843894,-0.220155925,-0.519716203,-9.424778938,-21.660903931,1.000000000
973.483332824,1.000000000,4234.080566406,0.660182774,49.401016235,0.743194401,0.277274311,49.401016235,0.005890807,-0.267642409,-0.796970189,0.000000000,-35.539501190,1.000000000
973.499999491,1.000000000,4234.895019531,0.660309732,49.331367493,0.734595597,0.285873115,49.330169678,0.343790442,-0.311984867,-0.335995793,0.000000000,-10.338626862,1.000000000
973.516666157,1.000000000,4235.708496094,0.660436571,49.270591736,0.730110526,0.290358186,49.268817902,0.417725682,-0.364988834,-0.186811611,0.000000000,-7.741154194,1.000000000
973.533332824,1.000000000,4236.521484375,0.660563350,49.192607880,0.728328168,0.292140543,49.190887451,0.411687255,-0.376468539,-0.035135873,0.000000000,-3.815496683,1.000000000
973.549999491,1.000000000,4237.333007812,0.660689890,49.132564545,0.728485107,0.291983604,49.131431580,0.334109873,-0.341193765,0.037093852,0.000000000,-5.639771461,1.000000000
973.566666157,1.000000000,4238.143554688,0.660816252,49.090229034,0.729221940,0.291246772,49.089962006,0.161398932,-0.308485538,0.047248945,0.000000000,-8.768748283,1.000000000
973.583332824,1.000000000,4238.953613281,0.660942554,49.051383972,0.729834914,0.290633798,49.051383972,0.000196920,-0.276499480,0.022031683,0.000000000,-5.868963242,1.000000000
973.599999491,1.000000000,4239.764160156,0.661068976,49.009571075,0.729889870,0.290578842,49.009521484,-0.070952319,-0.274184257,-0.007549000,0.000000000,-1.578710914,1.000000000
973.616666157,1.000000000,4240.573730469,0.661195219,48.961055756,0.729582727,0.290885985,48.961025238,-0.056806877,-0.270136952,-0.023378147,0.000000000,0.722393632,1.000000000
973.633332824,1.000000000,4241.381835938,0.661321163,48.889152527,0.730425775,0.290042937,48.888835907,-0.177024469,-0.244896904,-0.193560392,-7.065868855,-22.322795868,1.000000000
973.649999491,1.000000000,4242.189941406,0.661447167,48.808166504,0.724518239,0.295950472,48.808067322,-0.097848684,-0.251737356,-0.438808054,-9.424777985,-15.735597610,1.000000000
973.666666157,1.000000000,4243.000000000,0.661573470,48.725563049,0.716372550,0.304096162,48.725555420,-0.025887534,-0.311652750,-0.503142118,-9.424778938,-20.248336792,1.000000000
